"SCHOOLID"	"SEX"	"KIND"	"GRADE"	"MATH"	"ESCS"	"CHANGE"	"FAMSTRUC"	"READ"	"TECH"	"LYCEUM"	"EARLY"	"ESCSM"	"SCHLSIZE"	"SCMATEDU"	"SCMATBUI"	"PROPSTAY"	"ISTMED"	"ISTLAR"	"MEDDISC"	"MEDSTUR"	"PCGMED"	"PCGALT"
"36"	14007	"Female"	1	1	460.7727	1.34522	"Yes"	"1"	475.6223	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"37"	14007	"Male"	1	1	492.7091	0.87462	"Yes"	"0"	593.1073	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"38"	14007	"Female"	1	1	503.3027	1.99934	"Yes"	"1"	538.7815	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"39"	14007	"Female"	1	1	550.4284	1.55535	"Yes"	"1"	578.107	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"40"	14007	"Male"	1	1	518.6478	0.37583	"Yes"	"1"	634.816	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"41"	14007	"Male"	1	0	509.2226	0.58801	"Yes"	"1"	472.553	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"42"	14007	"Male"	1	1	523.9445	0.61221	"Yes"	"1"	617.17	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"43"	14007	"Female"	1	1	528.6182	0.70899	"Yes"	"1"	568.7324	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"44"	14007	"Male"	1	1	529.3971	0.60607	"Yes"	"1"	585.2468	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
"45"	14007	"Male"	1	1	552.6873	1.5979	"Yes"	"1"	596.3156	0	1	0	0.686987	135	0.439	-0.137	7	0	1	-0.046273	-0.895558	1	0
